candidate,top_n,momentum_threshold,pool_test,invest_pool,pool_size,final_value,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,max_dd_start,max_dd_end,cash_ratio,avg_holding_count,avg_holding_count_when_invested,rebalance_days,total_cost_rate
Top4_4.00,4,0.04,without_medicine,"hs300,zz500,cyb,kc50,securities,consumer,new_energy,dividend",8,1.8765745480404241,0.8765745480404241,0.1077556955828316,0.16311867213943446,0.660596939452288,-0.18962476126650374,0.5682575148051938,2023-02-01,2024-10-17,0.7496774193548387,0.635483870967742,2.538659793814433,29,0.030088503233330094
Top4_4.00,4,0.04,without_hs300,"zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.8658079309857833,0.8658079309857833,0.1067199048911256,0.1606416058545309,0.6643353963217092,-0.18731072209801047,0.569747976494823,2023-02-01,2024-10-17,0.7361290322580645,0.6593548387096774,2.4987775061124693,29,0.031588503233330095
Top4_4.00,4,0.04,without_securities,"hs300,zz500,cyb,kc50,consumer,medicine,new_energy,dividend",8,1.8609909956485458,0.8609909956485458,0.1062548755053887,0.15937509759276688,0.6666968498233629,-0.21304000906626408,0.49875549654308887,2023-02-01,2024-10-17,0.7361290322580645,0.6180645161290322,2.3422982885085575,29,0.030649891635721606
Top4_4.00,4,0.04,full_pool,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",9,1.860495257679286,0.8604952576792859,0.10620695952292958,0.16049753630064023,0.6617357622486191,-0.1896247612665044,0.5600901423082774,2023-02-01,2024-10-17,0.7361290322580645,0.6741935483870968,2.555012224938875,29,0.0315885032333301
Top4_4.00,4,0.04,without_dividend,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy",8,1.7822222808099581,0.7822222808099581,0.09850374674462259,0.15977396328114976,0.61651939228226,-0.19412871145024513,0.5074146220244652,2023-02-01,2024-10-17,0.7509677419354839,0.6445161290322581,2.588082901554404,28,0.029588503233330093
Top4_4.00,4,0.04,without_cyb,"hs300,zz500,kc50,securities,consumer,medicine,new_energy,dividend",8,1.7765207545071728,0.7765207545071728,0.09793163332205501,0.15176216458742997,0.6452967614707205,-0.18487978589669396,0.529704385187771,2023-02-01,2024-10-17,0.747741935483871,0.5587096774193548,2.214833759590793,28,0.030210937117477733
Top4_4.00,4,0.04,without_zz500,"hs300,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.7601176592407834,0.7601176592407834,0.09627706405188241,0.1602965617348032,0.6006183976120741,-0.1896247612665044,0.5077241147666981,2023-02-01,2024-10-17,0.7490322580645161,0.6341935483870967,2.526992287917738,27,0.02907158551738407
Top4_4.00,4,0.04,without_kc50,"hs300,zz500,cyb,securities,consumer,medicine,new_energy,dividend",8,1.5595226299551816,0.5595226299551816,0.07492140725516583,0.14105930025998556,0.5311341196013211,-0.2026431731944427,0.36972085500889934,2021-07-22,2024-10-17,0.7612903225806451,0.5967741935483871,2.5,27,0.02920491489264596
Top4_4.00,4,0.04,without_new_energy,"hs300,zz500,cyb,kc50,securities,consumer,medicine,dividend",8,1.553000255046507,0.553000255046507,0.07418922122440264,0.15885383966275482,0.4670281900765234,-0.18236387014376643,0.4068197344458396,2021-07-12,2024-10-17,0.7361290322580645,0.5690322580645162,2.156479217603912,29,0.03226962295315386
Top4_4.00,4,0.04,without_growth_group,"hs300,zz500,consumer,medicine,dividend",5,1.0401108617271773,0.04011086172717726,0.0064143430150311875,0.10314093809909944,0.062190078287519414,-0.16938458070603535,0.037868517832583555,2026-01-23,2026-03-23,0.8393548387096774,0.2787096774193548,1.7349397590361446,20,0.02199557916822347
Top4_4.00,4,0.04,broad_plus_dividend,"hs300,zz500,dividend",3,0.9018236942594675,-0.09817630574053249,-0.01666013148839296,0.07810157318974977,-0.21331364795836757,-0.16938458070603513,-0.09835683637170266,2026-01-23,2026-03-23,0.8909677419354839,0.16129032258064516,1.4792899408284024,15,0.01530121694890078
Top4_4.00,4,0.04,no_sector_etf,"hs300,zz500,dividend",3,0.9018236942594675,-0.09817630574053249,-0.01666013148839296,0.07810157318974977,-0.21331364795836757,-0.16938458070603513,-0.09835683637170266,2026-01-23,2026-03-23,0.8909677419354839,0.16129032258064516,1.4792899408284024,15,0.01530121694890078
Top4_4.00,4,0.04,broad_index_only,"hs300,zz500",2,0.8712294047621721,-0.12877059523782786,-0.02216245755741697,0.07843846615280387,-0.2825457794424853,-0.16938458070603502,-0.1308410568721108,2026-01-23,2026-03-23,0.9058064516129032,0.12,1.273972602739726,13,0.012967647949171764
